.settings-container {
    position: absolute;
    bottom: 30px;
    right: 340px;
}2024-07-26T19:54:24.432Z - BTC -Bearish!- Current Price: 67865.99 Target Price: 64133.36055 , 1h/14
2024-07-26T19:54:46.686Z - BTTC -Bullish!- Current Price: 8.7e-7 Target Price: 8.8e-7 , 1h/14
2024-07-26T19:55:19.720Z - BTC -Bearish!- Current Price: 67822 Target Price: 64091.79 , 1h/14
2024-07-26T19:56:17.745Z - BTC -Bearish!- Current Price: 67883.99 Target Price: 64150.37055 , 1h/14
2024-07-26T19:58:48.664Z - BTC -Bearish!- Current Price: 67966.01 Target Price: 64227.87945 , 1h/14
2024-07-26T20:01:55.730Z - BTC -Bearish!- Current Price: 67905.98 Target Price: 64171.1511 , 1h/14
2024-07-26T20:02:14.559Z - BTC -Bearish!- Current Price: 67915.58 Target Price: 64180.2231 , 1h/14
2024-07-26T20:02:49.855Z - BTC -Bearish!- Current Price: 67892 Target Price: 64157.94 , 1h/14
2024-07-26T20:03:13.460Z - BTC -Bearish!- Current Price: 67882.28 Target Price: 64148.7546 , 1h/14
2024-07-26T20:07:21.128Z - BTC -Bearish!- Current Price: 67831.99 Target Price: 64101.23055 , 1h/14
2024-07-26T20:08:01.265Z - BTC -Bearish!- Current Price: 67816.73 Target Price: 64086.80985 , 1h/14
2024-07-26T20:08:17.807Z - BTC -Bearish!- Current Price: 67827 Target Price: 64096.515 , 1h/14
2024-07-26T20:11:46.300Z - BTC -Bearish!- Current Price: 67816 Target Price: 64086.12 , 1h/14
2024-07-26T20:12:34.425Z - BTC -Bearish!- Current Price: 67811.54 Target Price: 64081.9053 , 1h/14
2024-07-26T20:13:35.356Z - BTC -Bearish!- Current Price: 67769.43 Target Price: 65397.49995 , 1h/14
2024-07-26T20:14:04.619Z - BTC -Bearish!- Current Price: 67769.43 Target Price: 65397.49995 , 1h/14
2024-07-26T20:14:50.737Z - BTC -Bearish!- Current Price: 67750 Target Price: 65378.75 , 1h/14
2024-07-26T20:15:19.210Z - BTC -Bearish!- Current Price: 67728 Target Price: 65357.52 , 1h/14
2024-07-26T20:21:23.528Z - BTC -Bearish!- Current Price: 67833.17 Target Price: 64102.34565 , 1h/14
